tag,total_companies,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
Crypto / Web3,63,Winter 2021,Summer 2026,14,Summer 2022,13,5.556,2021,16,2.201,2.083,Summer 2026,3,1.277,-4,-5.0,-0.924,0.597,1.425,False,True,2.192,0.895,0.935,1.021,Spiky,53,26,-27
Data Science,24,Summer 2021,Summer 2026,10,Summer 2023,5,2.273,2021,1,0.138,0.0,Summer 2026,3,1.277,3,2.5,1.139,0.426,0.678,True,False,0.128,0.638,0.31,1.085,Spiky,53,185,132
Big Data,21,Summer 2021,Summer 2026,12,Fall 2024,2,2.128,2021,3,0.413,0.0,Summer 2026,3,1.277,3,1.5,0.864,0.597,0.694,True,False,0.384,0.895,0.65,0.829,Spiky,53,111,58
Swarm Robotics,4,Summer 2024,Summer 2026,2,Summer 2026,3,1.277,2021,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,0.426,0.105,False,False,0.0,0.638,0.0,3.027,Low-volume / mixed,53,231,178
Analytics,113,Winter 2021,Summer 2026,15,Winter 2023,15,5.474,2021,21,2.889,2.679,Summer 2026,3,1.277,-6,-7.5,-1.612,0.593,2.83,False,True,2.874,0.638,3.04,0.553,Declining,53,16,-37
API,99,Winter 2021,Summer 2026,16,Summer 2022,14,5.983,2021,15,2.063,2.381,Summer 2026,3,1.277,-5,-4.5,-0.786,0.932,2.524,False,True,2.085,0.895,2.085,0.643,Low-volume / mixed,53,27,-26
AI-Enhanced Learning,38,Winter 2021,Fall 2026,15,Winter 2025,4,2.41,2021,7,0.963,0.595,Summer 2026,2,0.851,0,-1.5,-0.112,0.284,0.992,False,False,0.937,0.425,0.928,0.647,Low-volume / mixed,64,58,-6
AI-powered Drug Discovery,20,Winter 2021,Summer 2026,10,Summer 2021,7,1.79,2021,8,1.1,0.298,Summer 2026,2,0.851,1,-2.0,-0.249,0.284,0.451,False,True,1.044,0.425,0.351,1.11,Low-volume / mixed,64,51,-13
Agriculture,14,Winter 2021,Summer 2026,10,Summer 2025,2,1.205,2021,2,0.275,0.298,Summer 2026,2,0.851,1,1.0,0.576,0.451,0.357,False,False,0.277,0.425,0.351,0.992,Low-volume / mixed,64,143,79
Advanced Materials,4,Summer 2025,Fall 2026,3,Summer 2026,2,0.851,2021,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.284,0.091,False,False,0.0,0.425,0.0,2.69,Low-volume / mixed,64,231,167
Space Exploration,13,Winter 2021,Fall 2026,8,Summer 2021,4,1.023,2021,6,0.825,0.595,Summer 2026,2,0.851,0,-1.0,0.026,0.284,0.259,False,False,0.809,0.425,0.0,1.299,Low-volume / mixed,64,65,1
Stocks,5,Summer 2021,Summer 2026,3,Summer 2026,2,0.851,2021,2,0.275,0.0,Summer 2026,2,0.851,2,1.0,0.576,0.455,0.117,True,False,0.256,0.682,0.0,2.163,Low-volume / mixed,64,143,79
Sustainability,6,Summer 2021,Summer 2026,3,Summer 2026,2,0.851,2021,3,0.413,0.0,Summer 2026,2,0.851,2,0.5,0.438,0.284,0.126,True,False,0.384,0.425,0.0,2.186,Low-volume / mixed,64,111,47
Synthetic Biology,23,Summer 2021,Summer 2026,9,Summer 2024,5,2.016,2021,4,0.55,0.0,Summer 2026,2,0.851,2,0.0,0.301,0.284,0.542,True,True,0.511,0.425,0.479,1.091,Spiky,64,97,33
Entertainment,26,Winter 2021,Summer 2026,11,Winter 2022,7,1.759,2021,3,0.413,0.298,Summer 2026,2,0.851,1,0.5,0.438,0.284,0.617,False,True,0.405,0.425,0.557,0.915,Low-volume / mixed,64,111,47
Creator Economy,25,Winter 2021,Summer 2026,12,Summer 2022,4,1.709,2021,5,0.688,0.298,Summer 2026,2,0.851,1,-0.5,0.163,0.284,0.629,False,False,0.66,0.425,0.602,0.803,Low-volume / mixed,64,75,11
Consumer Finance,29,Winter 2021,Summer 2026,15,Fall 2025,3,2.055,2021,5,0.688,0.595,Summer 2026,2,0.851,0,-0.5,0.163,0.626,0.846,False,False,0.681,0.939,0.733,0.599,Low-volume / mixed,64,75,11
Consumer Health Services,67,Winter 2021,Summer 2026,11,Summer 2021,21,5.371,2021,34,4.677,3.869,Summer 2026,2,0.851,-11,-15.0,-3.826,0.284,1.413,False,True,4.62,0.425,0.96,1.074,Declining,64,9,-55
Conversational AI,41,Winter 2021,Summer 2026,13,Winter 2025,6,3.614,2021,3,0.413,0.595,Summer 2026,2,0.851,0,0.5,0.438,0.284,1.214,False,True,0.425,0.425,0.853,0.899,Spiky,64,111,47
Education,71,Winter 2021,Summer 2026,14,Summer 2021,18,4.604,2021,32,4.402,4.167,Summer 2026,2,0.851,-12,-14.0,-3.551,0.284,1.697,False,True,4.386,0.425,1.246,0.759,Declining,64,10,-54
