tag,total_companies,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
Cloud Computing,38,Winter 2021,Fall 2026,14,Summer 2024,6,2.419,2021,3,0.413,0.595,Summer 2026,4,1.702,2,2.5,1.289,0.738,0.964,False,False,0.425,1.107,0.831,0.777,Low-volume / mixed,43,111,68
Health & Wellness,31,Winter 2021,Fall 2026,11,Summer 2021,10,2.558,2021,12,1.651,0.595,Summer 2026,4,1.702,2,-2.0,0.051,0.738,0.75,False,False,1.576,1.107,0.554,1.053,Spiky,43,35,-8
Data Labeling,18,Summer 2021,Summer 2026,10,Spring 2025,3,2.098,2021,1,0.138,0.0,Summer 2026,4,1.702,4,3.5,1.564,0.735,0.529,True,False,0.128,0.851,0.479,1.134,Spiky,43,185,142
Trading,16,Winter 2021,Summer 2026,10,Summer 2026,4,1.702,2021,3,0.413,0.298,Summer 2026,4,1.702,3,2.5,1.289,1.077,0.455,False,False,0.405,1.364,0.434,1.046,Low-volume / mixed,43,111,68
Gaming,38,Winter 2021,Summer 2026,12,Winter 2022,9,2.261,2021,7,0.963,1.488,Summer 2026,4,1.702,-1,0.5,0.739,0.909,0.903,False,False,1.0,1.364,0.82,0.803,Low-volume / mixed,43,58,15
GovTech,33,Winter 2021,Fall 2026,14,Winter 2025,5,3.012,2021,6,0.825,0.595,Summer 2026,4,1.702,2,1.0,0.877,0.738,0.878,False,False,0.809,1.107,0.78,0.818,Spiky,43,65,22
Computer Vision,45,Winter 2021,Summer 2026,14,Fall 2025,3,2.055,2021,9,1.238,1.19,Summer 2026,4,1.702,0,-0.5,0.464,1.07,1.235,False,False,1.234,0.851,1.323,0.501,Low-volume / mixed,43,46,3
Productivity,115,Winter 2021,Fall 2026,16,Summer 2022,14,5.983,2021,20,2.751,2.381,Summer 2026,3,1.277,-5,-7.0,-1.474,0.938,3.012,False,True,2.725,1.407,2.878,0.524,Low-volume / mixed,53,19,-34
Market Research,16,Winter 2021,Summer 2026,12,Summer 2026,3,1.277,2021,3,0.413,0.298,Summer 2026,3,1.277,2,1.5,0.864,0.426,0.489,False,False,0.405,0.638,0.429,0.831,Low-volume / mixed,53,111,58
Personalization,5,Winter 2024,Summer 2026,3,Summer 2026,3,1.277,2021,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,0.426,0.143,True,False,0.0,0.638,0.0,2.371,Low-volume / mixed,53,231,178
Home Services,14,Winter 2021,Summer 2026,11,Summer 2026,3,1.277,2021,1,0.138,0.298,Summer 2026,3,1.277,2,2.5,1.139,0.597,0.397,False,False,0.149,0.895,0.384,0.889,Low-volume / mixed,53,185,132
LegalTech,39,Winter 2021,Summer 2026,14,Summer 2024,7,2.823,2021,6,0.825,1.19,Summer 2026,3,1.277,-1,0.0,0.452,0.426,1.1,False,True,0.851,0.638,0.987,0.708,Low-volume / mixed,53,65,12
