company_id,company_slug,batch,batch_code,year,subindustry,industry,subindustry_child
23366,olaclick,Winter 2021,W21,2021.0,Consumer -> Food and Beverage,Consumer,Food and Beverage
23634,ollama,Winter 2021,W21,2021.0,B2B -> Infrastructure,B2B,Infrastructure
23238,ontop,Winter 2021,W21,2021.0,B2B,B2B,
22986,opencode,Winter 2021,W21,2021.0,B2B -> Infrastructure,B2B,Infrastructure
22843,orbillion-bio,Winter 2021,W21,2021.0,Industrials -> Climate,Industrials,Climate
23461,outfit,Winter 2021,W21,2021.0,Consumer -> Home and Personal,Consumer,Home and Personal
23277,pagaloop,Winter 2021,W21,2021.0,Fintech -> Payments,Fintech,Payments
22861,pangea-app,Winter 2021,W21,2021.0,B2B -> Recruiting and Talent,B2B,Recruiting and Talent
22832,parsagon,Winter 2021,W21,2021.0,B2B,B2B,
22985,partnered-2,Winter 2021,W21,2021.0,B2B -> Sales,B2B,Sales
22672,pensil,Winter 2021,W21,2021.0,"B2B -> Engineering, Product and Design",B2B,"Engineering, Product and Design"
22806,per-diem,Winter 2021,W21,2021.0,B2B -> Marketing,B2B,Marketing
22722,pesto,Winter 2021,W21,2021.0,Fintech -> Credit and Lending,Fintech,Credit and Lending
23162,phoenix,Winter 2021,W21,2021.0,Healthcare -> Consumer Health and Wellness,Healthcare,Consumer Health and Wellness
22681,pibit-ai,Winter 2021,W21,2021.0,Fintech -> Insurance,Fintech,Insurance
22750,pingpong,Winter 2021,W21,2021.0,B2B -> Productivity,B2B,Productivity
23610,pipebio,Winter 2021,W21,2021.0,Healthcare -> Therapeutics,Healthcare,Therapeutics
23041,platypus,Winter 2021,W21,2021.0,B2B,B2B,
22652,playmaker,Winter 2021,W21,2021.0,Consumer -> Content,Consumer,Content
23414,poliglota,Winter 2021,W21,2021.0,Education,Education,
22878,popl,Winter 2021,W21,2021.0,B2B,B2B,
22670,powerrouter,Winter 2021,W21,2021.0,B2B -> Sales,B2B,Sales
22738,pragmatic-leaders-ankai-inc,Winter 2021,W21,2021.0,B2B,B2B,
23239,preki,Winter 2021,W21,2021.0,B2B,B2B,
23278,prendea,Winter 2021,W21,2021.0,Education,Education,
22772,prequel,Winter 2021,W21,2021.0,B2B -> Analytics,B2B,Analytics
22867,procoto,Winter 2021,W21,2021.0,B2B -> Finance and Accounting,B2B,Finance and Accounting
22827,promoted,Winter 2021,W21,2021.0,B2B,B2B,
23398,prospa,Winter 2021,W21,2021.0,Fintech -> Banking and Exchange,Fintech,Banking and Exchange
22830,pry-financials,Winter 2021,W21,2021.0,B2B -> Finance and Accounting,B2B,Finance and Accounting
22883,purpose-finance,Winter 2021,W21,2021.0,Fintech -> Banking and Exchange,Fintech,Banking and Exchange
23229,pyroscope,Winter 2021,W21,2021.0,"B2B -> Engineering, Product and Design",B2B,"Engineering, Product and Design"
22661,quadrant-eye,Winter 2021,W21,2021.0,Healthcare -> Medical Devices,Healthcare,Medical Devices
22850,quadrant-health,Winter 2021,W21,2021.0,Healthcare -> Healthcare IT,Healthcare,Healthcare IT
22701,queenly,Winter 2021,W21,2021.0,Consumer -> Apparel and Cosmetics,Consumer,Apparel and Cosmetics
22995,quicknode,Winter 2021,W21,2021.0,B2B -> Infrastructure,B2B,Infrastructure
22990,quotabook,Winter 2021,W21,2021.0,B2B -> Finance and Accounting,B2B,Finance and Accounting
22887,r2,Winter 2021,W21,2021.0,Fintech -> Credit and Lending,Fintech,Credit and Lending
23369,regent,Winter 2021,W21,2021.0,Industrials -> Aviation and Space,Industrials,Aviation and Space
23156,roger,Winter 2021,W21,2021.0,B2B,B2B,
23105,reclaim-protocol,Winter 2021,W21,2021.0,B2B -> Recruiting and Talent,B2B,Recruiting and Talent
23432,recover,Winter 2021,W21,2021.0,Healthcare -> Consumer Health and Wellness,Healthcare,Consumer Health and Wellness
23146,redcliffe-lifetech,Winter 2021,W21,2021.0,Healthcare -> Diagnostics,Healthcare,Diagnostics
23317,rejoy-health,Winter 2021,W21,2021.0,Healthcare -> Healthcare IT,Healthcare,Healthcare IT
22905,remora,Winter 2021,W21,2021.0,Industrials -> Climate,Industrials,Climate
23611,reshape-biotech,Winter 2021,W21,2021.0,Healthcare -> Industrial Bio,Healthcare,Industrial Bio
22996,resquared,Winter 2021,W21,2021.0,B2B -> Marketing,B2B,Marketing
23399,rethoric,Winter 2021,W21,2021.0,B2B -> Marketing,B2B,Marketing
22884,rinsed,Winter 2021,W21,2021.0,B2B,B2B,
22660,rocketsdr,Winter 2021,W21,2021.0,B2B -> Sales,B2B,Sales
22875,roin-technologies,Winter 2021,W21,2021.0,Industrials -> Manufacturing and Robotics,Industrials,Manufacturing and Robotics
23459,routine,Winter 2021,W21,2021.0,B2B -> Productivity,B2B,Productivity
23127,rulebricks,Winter 2021,W21,2021.0,B2B -> Operations,B2B,Operations
22591,runway,Winter 2021,W21,2021.0,"B2B -> Engineering, Product and Design",B2B,"Engineering, Product and Design"
22664,sbx-robotics,Winter 2021,W21,2021.0,"B2B -> Engineering, Product and Design",B2B,"Engineering, Product and Design"
23139,seer,Winter 2021,W21,2021.0,B2B -> Retail,B2B,Retail
22743,segments-ai,Winter 2021,W21,2021.0,"B2B -> Engineering, Product and Design",B2B,"Engineering, Product and Design"
22957,sendbox,Winter 2021,W21,2021.0,B2B -> Supply Chain and Logistics,B2B,Supply Chain and Logistics
22617,serna-bio,Winter 2021,W21,2021.0,Healthcare -> Therapeutics,Healthcare,Therapeutics
23599,shepherd,Winter 2021,W21,2021.0,Fintech -> Insurance,Fintech,Insurance
22671,signoz,Winter 2021,W21,2021.0,B2B -> Infrastructure,B2B,Infrastructure
23056,simplify,Winter 2021,W21,2021.0,Consumer -> Job and Career Services,Consumer,Job and Career Services
