country,batch,count,batch_order,total_companies,share_pct
South Korea,Winter 2022,1,20220,398,0.25
South Korea,Summer 2022,1,20222,234,0.43
South Korea,Winter 2025,1,20250,166,0.6
South Korea,Summer 2025,1,20252,166,0.6
South Korea,Spring 2026,1,20261,195,0.51
Spain,Winter 2021,2,20210,336,0.6
Spain,Summer 2021,5,20212,391,1.28
Spain,Winter 2022,4,20220,398,1.01
Spain,Summer 2022,3,20222,234,1.28
Spain,Winter 2023,1,20230,274,0.36
Spain,Winter 2025,1,20250,166,0.6
Sweden,Winter 2021,2,20210,336,0.6
Sweden,Winter 2022,3,20220,398,0.75
Sweden,Winter 2024,1,20240,248,0.4
Sweden,Summer 2024,1,20242,248,0.4
Sweden,Winter 2025,3,20250,166,1.81
Sweden,Spring 2025,1,20251,143,0.7
Sweden,Fall 2025,3,20253,146,2.05
Sweden,Winter 2026,1,20260,199,0.5
Sweden,Spring 2026,2,20261,195,1.03
Sweden,Summer 2026,1,20262,235,0.43
Switzerland,Summer 2021,2,20212,391,0.51
Switzerland,Winter 2022,2,20220,398,0.5
Switzerland,Summer 2022,3,20222,234,1.28
Switzerland,Winter 2023,2,20230,274,0.73
Switzerland,Summer 2023,1,20232,220,0.45
Switzerland,Winter 2025,1,20250,166,0.6
Switzerland,Spring 2025,1,20251,143,0.7
Switzerland,Summer 2026,1,20262,235,0.43
Taiwan,Summer 2022,1,20222,234,0.43
Turkey,Summer 2022,1,20222,234,0.43
Turkey,Summer 2024,1,20242,248,0.4
Turkey,Fall 2026,1,20263,35,2.86
Uganda,Winter 2022,1,20220,398,0.25
Ukraine,Summer 2022,1,20222,234,0.43
United Arab Emirates,Winter 2021,1,20210,336,0.3
United Arab Emirates,Summer 2021,4,20212,391,1.02
United Arab Emirates,Winter 2022,5,20220,398,1.26
United Arab Emirates,Winter 2023,2,20230,274,0.73
United Arab Emirates,Summer 2023,1,20232,220,0.45
United Arab Emirates,Winter 2025,1,20250,166,0.6
United Kingdom,Winter 2021,15,20210,336,4.46
United Kingdom,Summer 2021,21,20212,391,5.37
United Kingdom,Winter 2022,17,20220,398,4.27
United Kingdom,Summer 2022,11,20222,234,4.7
United Kingdom,Winter 2023,5,20230,274,1.82
United Kingdom,Summer 2023,14,20232,220,6.36
United Kingdom,Winter 2024,7,20240,248,2.82
United Kingdom,Summer 2024,17,20242,248,6.85
United Kingdom,Fall 2024,2,20243,94,2.13
United Kingdom,Winter 2025,5,20250,166,3.01
United Kingdom,Spring 2025,13,20251,143,9.09
United Kingdom,Summer 2025,3,20252,166,1.81
United Kingdom,Fall 2025,6,20253,146,4.11
United Kingdom,Winter 2026,8,20260,199,4.02
United Kingdom,Spring 2026,5,20261,195,2.56
United Kingdom,Summer 2026,5,20262,235,2.13
United States of America,Winter 2021,188,20210,336,55.95
United States of America,Summer 2021,212,20212,391,54.22
United States of America,Winter 2022,224,20220,398,56.28
United States of America,Summer 2022,145,20222,234,61.97
United States of America,Winter 2023,198,20230,274,72.26
United States of America,Summer 2023,162,20232,220,73.64
United States of America,Winter 2024,208,20240,248,83.87
United States of America,Summer 2024,205,20242,248,82.66
United States of America,Fall 2024,84,20243,94,89.36
United States of America,Winter 2025,133,20250,166,80.12
United States of America,Spring 2025,113,20251,143,79.02
United States of America,Summer 2025,151,20252,166,90.96
United States of America,Fall 2025,119,20253,146,81.51
United States of America,Winter 2026,160,20260,199,80.4
United States of America,Spring 2026,181,20261,195,92.82
United States of America,Summer 2026,215,20262,235,91.49
United States of America,Fall 2026,27,20263,35,77.14
United States of America,Winter 2027,1,20270,1,100.0
Uruguay,Winter 2023,1,20230,274,0.36
Venezuela,Winter 2022,1,20220,398,0.25
Vietnam,Winter 2021,2,20210,336,0.6
Vietnam,Summer 2021,1,20212,391,0.26
Vietnam,Winter 2022,4,20220,398,1.01
Zambia,Summer 2021,1,20212,391,0.26
