subindustry,total_companies,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
B2B -> Operations,111,Winter 2021,Winter 2027,17,Winter 2021,19,5.655,2021,22,3.026,5.655,Summer 2026,6,2.553,-13,-5.0,-0.473,3.224,2.958,False,True,3.211,3.328,2.646,0.442,Low-volume / mixed,10,9,-1
Consumer,145,Winter 2021,Fall 2026,17,Fall 2024,7,7.447,2021,25,3.439,2.083,Summer 2026,6,2.553,-1,-6.5,-0.886,2.55,4.081,False,True,3.344,3.071,3.679,0.413,Low-volume / mixed,10,6,-4
Fintech,149,Winter 2021,Summer 2026,16,Summer 2022,23,9.829,2021,26,3.576,1.488,Summer 2026,6,2.553,1,-7.0,-1.023,2.704,3.57,False,True,3.429,2.046,2.486,0.758,Spiky,10,5,-5
Fintech -> Insurance,51,Winter 2021,Fall 2026,16,Spring 2026,5,2.564,2021,7,0.963,1.488,Summer 2026,5,2.128,0,1.5,1.165,1.899,1.34,False,False,1.0,2.346,1.246,0.476,Low-volume / mixed,14,36,22
B2B -> Analytics,80,Winter 2021,Summer 2026,15,Summer 2025,6,3.614,2021,17,2.338,1.488,Summer 2026,5,2.128,0,-3.5,-0.21,1.554,1.995,False,False,2.279,1.577,1.952,0.508,Low-volume / mixed,14,17,3
B2B -> Productivity,116,Winter 2021,Fall 2026,17,Summer 2023,10,4.545,2021,21,2.889,3.571,Summer 2026,4,1.702,-8,-6.5,-1.187,2.94,3.172,False,True,2.937,2.902,3.103,0.31,Persistent,16,10,-6
Fintech -> Asset Management,35,Winter 2021,Summer 2026,9,Spring 2026,5,2.564,2021,10,1.376,1.19,Summer 2026,3,1.277,-1,-2.0,-0.099,1.28,0.768,False,False,1.362,1.921,0.831,1.012,Spiky,17,28,11
Healthcare -> Drug Discovery and Delivery,34,Summer 2021,Summer 2026,11,Winter 2023,7,2.555,2021,9,1.238,0.0,Summer 2026,3,1.277,3,-1.5,0.039,1.267,0.825,True,True,1.151,0.895,0.599,0.993,Spiky,17,31,14
Industrials -> Energy,33,Winter 2021,Fall 2026,15,Winter 2026,6,3.015,2021,8,1.1,1.488,Summer 2026,3,1.277,-2,-1.0,0.177,1.773,0.847,False,True,1.127,1.151,0.733,0.816,Spiky,17,32,15
Real Estate and Construction -> Construction,32,Winter 2021,Summer 2026,14,Fall 2024,3,3.191,2021,6,0.825,0.595,Summer 2026,3,1.277,1,0.0,0.452,0.935,0.955,False,False,0.809,1.151,0.93,0.746,Spiky,17,39,22
Real Estate and Construction -> Housing and Real Estate,30,Winter 2021,Summer 2026,11,Fall 2025,3,2.055,2021,8,1.1,1.19,Summer 2026,3,1.277,-1,-1.0,0.177,0.426,0.712,False,False,1.107,0.638,0.528,0.923,Spiky,17,32,15
Industrials -> Aviation and Space,48,Winter 2021,Fall 2026,16,Fall 2024,3,3.191,2021,11,1.513,1.786,Summer 2026,3,1.277,-3,-2.5,-0.236,1.438,1.346,False,False,1.532,1.151,1.278,0.566,Low-volume / mixed,17,26,9
B2B -> Sales,91,Winter 2021,Summer 2026,16,Summer 2023,11,5.0,2021,13,1.788,1.488,Summer 2026,2,0.851,-3,-4.5,-0.937,0.961,2.562,False,True,1.767,0.939,2.393,0.525,Low-volume / mixed,23,22,-1
Consumer -> Content,41,Winter 2021,Summer 2026,14,Winter 2024,7,2.823,2021,7,0.963,1.19,Summer 2026,2,0.851,-2,-1.5,-0.112,0.455,1.04,False,True,0.978,0.682,0.958,0.716,Low-volume / mixed,23,36,13
Consumer -> Gaming,21,Winter 2021,Summer 2026,11,Summer 2022,4,1.709,2021,3,0.413,0.298,Summer 2026,2,0.851,1,0.5,0.438,1.128,0.587,False,False,0.405,0.939,0.439,0.954,Low-volume / mixed,23,43,20
