batch,rank,subindustry,share_pct,count
Summer 2025,12,Healthcare,1.807,3
Summer 2025,13,Real Estate and Construction,1.807,3
Summer 2025,14,Industrials,1.807,3
Summer 2025,15,Fintech,1.807,3
Summer 2025,16,B2B -> Marketing,1.807,3
Summer 2025,17,B2B -> Operations,1.807,3
Summer 2025,18,Consumer -> Content,1.205,2
Summer 2025,19,Education,1.205,2
Summer 2025,20,Fintech -> Insurance,1.205,2
Fall 2025,1,B2B,20.548,30
Fall 2025,2,"B2B -> Engineering, Product and Design",15.068,22
Fall 2025,3,Consumer,6.849,10
Fall 2025,4,Industrials -> Manufacturing and Robotics,6.849,10
Fall 2025,5,B2B -> Infrastructure,4.795,7
Fall 2025,6,B2B -> Marketing,4.795,7
Fall 2025,7,Healthcare,4.11,6
Fall 2025,8,B2B -> Finance and Accounting,3.425,5
Fall 2025,9,B2B -> Sales,2.74,4
Fall 2025,10,B2B -> Security,2.055,3
Fall 2025,11,Fintech -> Insurance,2.055,3
Fall 2025,12,Real Estate and Construction -> Housing and Real Estate,2.055,3
Fall 2025,13,Consumer -> Content,2.055,3
Fall 2025,14,B2B -> Operations,2.055,3
Fall 2025,15,Consumer -> Gaming,1.37,2
Fall 2025,16,B2B -> Productivity,1.37,2
Fall 2025,17,B2B -> Legal,1.37,2
Fall 2025,18,Healthcare -> Consumer Health and Wellness,1.37,2
Fall 2025,19,Fintech -> Consumer Finance,1.37,2
Fall 2025,20,Fintech,1.37,2
Winter 2026,1,B2B,23.116,46
Winter 2026,2,B2B -> Infrastructure,11.558,23
Winter 2026,3,"B2B -> Engineering, Product and Design",9.045,18
Winter 2026,4,Fintech,4.02,8
Winter 2026,5,B2B -> Legal,3.015,6
Winter 2026,6,B2B -> Operations,3.015,6
Winter 2026,7,B2B -> Security,3.015,6
Winter 2026,8,Industrials -> Energy,3.015,6
Winter 2026,9,Industrials -> Manufacturing and Robotics,3.015,6
Winter 2026,10,B2B -> Productivity,3.015,6
Winter 2026,11,Industrials,3.015,6
Winter 2026,12,B2B -> Finance and Accounting,2.513,5
Winter 2026,13,Healthcare,2.513,5
Winter 2026,14,Industrials -> Aviation and Space,2.01,4
Winter 2026,15,Healthcare -> Drug Discovery and Delivery,2.01,4
Winter 2026,16,Healthcare -> Healthcare IT,2.01,4
Winter 2026,17,B2B -> Analytics,1.508,3
Winter 2026,18,B2B -> Supply Chain and Logistics,1.508,3
Winter 2026,19,Consumer -> Gaming,1.508,3
Winter 2026,20,Consumer,1.508,3
Spring 2026,1,B2B,18.974,37
Spring 2026,2,B2B -> Infrastructure,9.231,18
Spring 2026,3,"B2B -> Engineering, Product and Design",8.718,17
Spring 2026,4,Industrials -> Manufacturing and Robotics,6.667,13
Spring 2026,5,B2B -> Marketing,4.103,8
Spring 2026,6,B2B -> Operations,4.103,8
Spring 2026,7,B2B -> Productivity,4.103,8
Spring 2026,8,Consumer,3.59,7
Spring 2026,9,Industrials -> Defense,3.077,6
Spring 2026,10,Fintech -> Asset Management,2.564,5
Spring 2026,11,Fintech -> Insurance,2.564,5
Spring 2026,12,Healthcare,2.564,5
Spring 2026,13,Healthcare -> Healthcare Services,2.051,4
Spring 2026,14,Fintech -> Consumer Finance,1.538,3
Spring 2026,15,Fintech,1.538,3
Spring 2026,16,B2B -> Security,1.538,3
Spring 2026,17,B2B -> Recruiting and Talent,1.538,3
Spring 2026,18,Fintech -> Payments,1.538,3
Spring 2026,19,B2B -> Supply Chain and Logistics,1.538,3
Spring 2026,20,B2B -> Analytics,1.026,2
Summer 2026,1,B2B,17.447,41
Summer 2026,2,B2B -> Infrastructure,10.638,25
Summer 2026,3,Industrials -> Manufacturing and Robotics,10.213,24
Summer 2026,4,"B2B -> Engineering, Product and Design",5.957,14
Summer 2026,5,Industrials,5.957,14
Summer 2026,6,Healthcare,5.106,12
Summer 2026,7,Industrials -> Defense,3.83,9
Summer 2026,8,B2B -> Supply Chain and Logistics,3.404,8
Summer 2026,9,B2B -> Security,2.979,7
Summer 2026,10,B2B -> Finance and Accounting,2.553,6
Summer 2026,11,B2B -> Operations,2.553,6
Summer 2026,12,Consumer,2.553,6
Summer 2026,13,Fintech,2.553,6
Summer 2026,14,Fintech -> Insurance,2.128,5
Summer 2026,15,B2B -> Analytics,2.128,5
Summer 2026,16,B2B -> Productivity,1.702,4
Summer 2026,17,Fintech -> Asset Management,1.277,3
Summer 2026,18,Healthcare -> Drug Discovery and Delivery,1.277,3
Summer 2026,19,Industrials -> Energy,1.277,3
Summer 2026,20,Real Estate and Construction -> Construction,1.277,3
Fall 2026,1,B2B,17.143,6
Fall 2026,2,"B2B -> Engineering, Product and Design",14.286,5
Fall 2026,3,Industrials -> Manufacturing and Robotics,14.286,5
Fall 2026,4,B2B -> Infrastructure,11.429,4
Fall 2026,5,Fintech -> Insurance,8.571,3
Fall 2026,6,Consumer -> Consumer Electronics,5.714,2
Fall 2026,7,Consumer,2.857,1
Fall 2026,8,Consumer -> Food and Beverage,2.857,1
Fall 2026,9,B2B -> Legal,2.857,1
Fall 2026,10,B2B -> Human Resources,2.857,1
Fall 2026,11,"Consumer -> Travel, Leisure and Tourism",2.857,1
Fall 2026,12,Industrials -> Aviation and Space,2.857,1
Fall 2026,13,Industrials -> Energy,2.857,1
Fall 2026,14,Industrials -> Drones,2.857,1
Fall 2026,15,B2B -> Productivity,2.857,1
Fall 2026,16,Government,2.857,1
Fall 2026,17,B2B -> Operations,0.0,0
Fall 2026,18,B2B -> Recruiting and Talent,0.0,0
Fall 2026,19,Consumer -> Apparel and Cosmetics,0.0,0
Fall 2026,20,B2B -> Office Management,0.0,0
Winter 2027,1,B2B -> Operations,100.0,1
Winter 2027,2,B2B,0.0,0
Winter 2027,3,B2B -> Analytics,0.0,0
Winter 2027,4,"B2B -> Engineering, Product and Design",0.0,0
Winter 2027,5,B2B -> Human Resources,0.0,0
Winter 2027,6,B2B -> Finance and Accounting,0.0,0
Winter 2027,7,B2B -> Infrastructure,0.0,0
Winter 2027,8,B2B -> Legal,0.0,0
Winter 2027,9,B2B -> Marketing,0.0,0
Winter 2027,10,B2B -> Office Management,0.0,0
Winter 2027,11,B2B -> Productivity,0.0,0
Winter 2027,12,B2B -> Recruiting and Talent,0.0,0
Winter 2027,13,B2B -> Retail,0.0,0
Winter 2027,14,B2B -> Sales,0.0,0
Winter 2027,15,B2B -> Security,0.0,0
Winter 2027,16,B2B -> Supply Chain and Logistics,0.0,0
Winter 2027,17,Consumer,0.0,0
Winter 2027,18,Consumer -> Apparel and Cosmetics,0.0,0
Winter 2027,19,Consumer -> Consumer Electronics,0.0,0
Winter 2027,20,Consumer -> Content,0.0,0
