company_id,company_slug,batch,batch_code,year,tag
22470,degrees-of-freedom,Winter 2021,W21,2021,Nonprofit
22470,degrees-of-freedom,Winter 2021,W21,2021,HR Tech
22470,degrees-of-freedom,Winter 2021,W21,2021,Edtech
22470,degrees-of-freedom,Winter 2021,W21,2021,AI
23458,djamo,Winter 2021,W21,2021,Fintech
22656,dreamworld,Winter 2021,W21,2021,Gaming
23400,dressd,Winter 2021,W21,2021,Marketplace
23400,dressd,Winter 2021,W21,2021,Consumer
23400,dressd,Winter 2021,W21,2021,E-commerce
23038,dyte,Winter 2021,W21,2021,Video
23038,dyte,Winter 2021,W21,2021,API
23038,dyte,Winter 2021,W21,2021,Telecommunications
23264,eat-blueprint,Winter 2021,W21,2021,Anti-Aging
23264,eat-blueprint,Winter 2021,W21,2021,Fitness
23264,eat-blueprint,Winter 2021,W21,2021,Food
23264,eat-blueprint,Winter 2021,W21,2021,Health & Wellness
23264,eat-blueprint,Winter 2021,W21,2021,Food & Beverage
22831,emerge-tools,Winter 2021,W21,2021,Artificial Intelligence
22831,emerge-tools,Winter 2021,W21,2021,Developer Tools
22831,emerge-tools,Winter 2021,W21,2021,B2B
22831,emerge-tools,Winter 2021,W21,2021,Enterprise
23037,enable-us,Winter 2021,W21,2021,Artificial Intelligence
23037,enable-us,Winter 2021,W21,2021,SaaS
23037,enable-us,Winter 2021,W21,2021,B2B
22744,encord,Winter 2021,W21,2021,Machine Learning
22744,encord,Winter 2021,W21,2021,Robotics
22744,encord,Winter 2021,W21,2021,Enterprise Software
22744,encord,Winter 2021,W21,2021,Infrastructure
22744,encord,Winter 2021,W21,2021,AI
22953,enode,Winter 2021,W21,2021,Climate
22953,enode,Winter 2021,W21,2021,API
22953,enode,Winter 2021,W21,2021,Energy
22953,enode,Winter 2021,W21,2021,Infrastructure
23263,entelexo-biotherapeutics,Winter 2021,W21,2021,Biotech
23433,estoca,Winter 2021,W21,2021,B2B
23433,estoca,Winter 2021,W21,2021,Logistics
23433,estoca,Winter 2021,W21,2021,E-commerce
22787,expent-inc,Winter 2021,W21,2021,Machine Learning
22787,expent-inc,Winter 2021,W21,2021,SaaS
22787,expent-inc,Winter 2021,W21,2021,B2B
22787,expent-inc,Winter 2021,W21,2021,AI
23189,fable,Winter 2021,W21,2021,SaaS
23189,fable,Winter 2021,W21,2021,Productivity
23189,fable,Winter 2021,W21,2021,Enterprise Software
22786,faction,Winter 2021,W21,2021,Autonomous Delivery
22786,faction,Winter 2021,W21,2021,Robotics
22786,faction,Winter 2021,W21,2021,Logistics
22786,faction,Winter 2021,W21,2021,Electric Vehicles
22786,faction,Winter 2021,W21,2021,Self-Driving Vehicles
22879,fathom,Winter 2021,W21,2021,SaaS
22879,fathom,Winter 2021,W21,2021,B2B
22879,fathom,Winter 2021,W21,2021,Productivity
22879,fathom,Winter 2021,W21,2021,AI
22879,fathom,Winter 2021,W21,2021,Note-taking
23174,feroot-security,Winter 2021,W21,2021,Compliance
23174,feroot-security,Winter 2021,W21,2021,Security
23174,feroot-security,Winter 2021,W21,2021,Privacy
22826,fifthtry,Winter 2021,W21,2021,Documents
22826,fifthtry,Winter 2021,W21,2021,Developer Tools
23065,finantier,Winter 2021,W21,2021,Fintech
23065,finantier,Winter 2021,W21,2021,SaaS
23065,finantier,Winter 2021,W21,2021,B2B
22755,finary,Winter 2021,W21,2021,Fintech
22755,finary,Winter 2021,W21,2021,Community
22903,finary-com,Winter 2021,W21,2021,Fintech
22903,finary-com,Winter 2021,W21,2021,Investing
22903,finary-com,Winter 2021,W21,2021,Neobank
22667,finley,Winter 2021,W21,2021,Fintech
22667,finley,Winter 2021,W21,2021,SaaS
22667,finley,Winter 2021,W21,2021,Enterprise
22836,fintoc,Winter 2021,W21,2021,Developer Tools
22836,fintoc,Winter 2021,W21,2021,Fintech
22836,fintoc,Winter 2021,W21,2021,SaaS
22836,fintoc,Winter 2021,W21,2021,Payments
22882,firstsupport-ai,Winter 2021,W21,2021,Artificial Intelligence
22882,firstsupport-ai,Winter 2021,W21,2021,SaaS
22882,firstsupport-ai,Winter 2021,W21,2021,B2B
22882,firstsupport-ai,Winter 2021,W21,2021,Customer Support
22882,firstsupport-ai,Winter 2021,W21,2021,AI Assistant
22796,firstbase-io,Winter 2021,W21,2021,SaaS
22796,firstbase-io,Winter 2021,W21,2021,B2B
22796,firstbase-io,Winter 2021,W21,2021,LegalTech
23128,fithub-2,Winter 2021,W21,2021,Grocery
23128,fithub-2,Winter 2021,W21,2021,E-commerce
22989,flextock,Winter 2021,W21,2021,Logistics
22989,flextock,Winter 2021,W21,2021,Supply Chain
22774,flok,Winter 2021,W21,2021,Marketplace
22774,flok,Winter 2021,W21,2021,Travel
22774,flok,Winter 2021,W21,2021,Remote
23316,floweq,Winter 2021,W21,2021,B2B
23316,floweq,Winter 2021,W21,2021,Customer Success
23316,floweq,Winter 2021,W21,2021,Compliance
23316,floweq,Winter 2021,W21,2021,API
23316,floweq,Winter 2021,W21,2021,Enterprise
23645,flux-2,Winter 2021,W21,2021,DeFi
23645,flux-2,Winter 2021,W21,2021,Crypto / Web3
22708,flux-auto,Winter 2021,W21,2021,Artificial Intelligence
