city,batch,count,batch_order,total_companies,share_pct
"Carlsbad, USA",Winter 2021,1,20210,336,0.3
"Carlsbad, USA",Winter 2022,1,20220,398,0.25
"Carmel, USA",Winter 2018,1,20180,146,0.68
"Casablanca, Morocco",Winter 2017,1,20170,116,0.86
"Casablanca, Morocco",Summer 2021,2,20212,391,0.51
"Celje, Slovenia",Winter 2014,1,20140,74,1.35
"Centennial, USA",Winter 2016,1,20160,122,0.82
"Champaign, USA",Summer 2019,1,20192,176,0.57
"Chandigarh, India",Winter 2020,1,20200,228,0.44
"Charleston, USA",Summer 2020,1,20202,209,0.48
"Charleston, USA",Summer 2021,1,20212,391,0.26
"Charlotte, USA",Summer 2013,1,20132,52,1.92
"Charlotte, USA",Summer 2019,2,20192,176,1.14
"Charlotte, USA",Summer 2020,1,20202,209,0.48
"Charlotte, USA",Summer 2023,1,20232,220,0.45
"Chattanooga, USA",Winter 2014,1,20140,74,1.35
"Chennai, India",Winter 2019,1,20190,194,0.52
"Chennai, India",Winter 2022,1,20220,398,0.25
"Chicago, USA",Winter 2006,1,20060,7,14.29
"Chicago, USA",Winter 2011,2,20110,45,4.44
"Chicago, USA",Summer 2011,3,20112,60,5.0
"Chicago, USA",Winter 2014,1,20140,74,1.35
"Chicago, USA",Summer 2014,1,20142,78,1.28
"Chicago, USA",Winter 2015,1,20150,110,0.91
"Chicago, USA",Summer 2015,1,20152,104,0.96
"Chicago, USA",Winter 2016,3,20160,122,2.46
"Chicago, USA",Summer 2016,1,20162,102,0.98
"Chicago, USA",Winter 2019,1,20190,194,0.52
"Chicago, USA",Summer 2019,3,20192,176,1.7
"Chicago, USA",Winter 2020,2,20200,228,0.88
"Chicago, USA",Summer 2020,1,20202,209,0.48
"Chicago, USA",Winter 2021,1,20210,336,0.3
"Chicago, USA",Summer 2021,2,20212,391,0.51
"Chicago, USA",Summer 2022,2,20222,234,0.85
"Chicago, USA",Summer 2023,1,20232,220,0.45
"Chicago, USA",Summer 2025,1,20252,166,0.6
"Chicago, USA",Summer 2026,1,20262,235,0.43
"Cincinnati, USA",Winter 2022,1,20220,398,0.25
"Cincinnati, USA",Winter 2023,1,20230,274,0.36
"Claymont, USA",Summer 2015,1,20152,104,0.96
"Claymont, USA",Winter 2022,1,20220,398,0.25
"Claymont, USA",Summer 2022,1,20222,234,0.43
"Cleburne, USA",Spring 2025,1,20251,143,0.7
"Cleveland, USA",Winter 2021,1,20210,336,0.3
"Coffeyville, USA",Winter 2016,1,20160,122,0.82
"Coimbatore, India",Winter 2021,1,20210,336,0.3
"College Park, USA",Summer 2022,1,20222,234,0.43
"Columbia, USA",Summer 2008,1,20082,22,4.55
"Columbia, USA",Summer 2012,1,20122,83,1.2
"Columbia, USA",Winter 2015,1,20150,110,0.91
"Columbus, USA",Summer 2010,1,20102,36,2.78
"Columbus, USA",Winter 2024,1,20240,248,0.4
"Copenhagen, Denmark",Winter 2016,1,20160,122,0.82
"Copenhagen, Denmark",Summer 2017,1,20172,125,0.8
"Copenhagen, Denmark",Winter 2021,2,20210,336,0.6
"Copenhagen, Denmark",Summer 2021,3,20212,391,0.77
"Copenhagen, Denmark",Winter 2022,1,20220,398,0.25
"Copenhagen, Denmark",Winter 2023,1,20230,274,0.36
"Copenhagen, Denmark",Summer 2023,2,20232,220,0.91
"Copenhagen, Denmark",Winter 2025,1,20250,166,0.6
"Copenhagen, Denmark",Spring 2026,1,20261,195,0.51
"Cork, Ireland",Winter 2020,1,20200,228,0.44
"Corvallis, USA",Winter 2007,1,20070,13,7.69
"Culver City, USA",Winter 2011,1,20110,45,2.22
"Culver City, USA",Summer 2016,1,20162,102,0.98
"Curitiba, Brazil",Winter 2024,1,20240,248,0.4
"Cyberjaya, Malaysia",Winter 2022,1,20220,398,0.25
"Córdoba, Argentina",Summer 2021,1,20212,391,0.26
"Córdoba, Argentina",Winter 2022,1,20220,398,0.25
"Córdoba, Argentina",Summer 2022,1,20222,234,0.43
"DF, Brazil",Summer 2017,1,20172,125,0.8
"Dakar, Senegal",Winter 2012,1,20120,66,1.52
"Dakar, Senegal",Summer 2015,1,20152,104,0.96
"Dallas, USA",Summer 2016,1,20162,102,0.98
"Dallas, USA",Winter 2018,1,20180,146,0.68
"Dallas, USA",Summer 2018,2,20182,131,1.53
"Dallas, USA",Winter 2019,1,20190,194,0.52
"Dallas, USA",Summer 2021,1,20212,391,0.26
"Dallas, USA",Summer 2022,1,20222,234,0.43
"Dallas, USA",Summer 2024,1,20242,248,0.4
"Dar es Salaam, Tanzania",Winter 2020,1,20200,228,0.44
"Davis, USA",Summer 2014,1,20142,78,1.28
"Davis, USA",Summer 2021,1,20212,391,0.26
"Dayton, USA",Winter 2022,1,20220,398,0.25
"Dayton, USA",Summer 2022,1,20222,234,0.43
"Delaware City, USA",Summer 2022,1,20222,234,0.43
"Delft, Netherlands",Summer 2021,1,20212,391,0.26
"Delhi, India",Winter 2017,1,20170,116,0.86
"Delhi, India",Winter 2021,3,20210,336,0.89
"Delhi, India",Summer 2021,2,20212,391,0.51
"Delhi, India",Winter 2022,1,20220,398,0.25
"Delhi, India",Summer 2022,1,20222,234,0.43
"Denver, USA",Winter 2017,1,20170,116,0.86
"Denver, USA",Summer 2017,1,20172,125,0.8
"Denver, USA",Winter 2019,1,20190,194,0.52
"Denver, USA",Summer 2020,1,20202,209,0.48
"Denver, USA",Winter 2021,2,20210,336,0.6
"Denver, USA",Summer 2021,2,20212,391,0.51
"Denver, USA",Winter 2022,2,20220,398,0.5
"Denver, USA",Summer 2022,1,20222,234,0.43
"Denver, USA",Summer 2024,2,20242,248,0.81
"Denver, USA",Fall 2024,1,20243,94,1.06
"Denver, USA",Summer 2026,1,20262,235,0.43
"Detroit, USA",Winter 2016,1,20160,122,0.82
"Detroit, USA",Winter 2021,1,20210,336,0.3
"Detroit, USA",Winter 2022,1,20220,398,0.25
"Detroit, USA",Summer 2025,1,20252,166,0.6
"Dhaka, Bangladesh",Summer 2015,1,20152,104,0.96
"Dover, USA",Summer 2023,1,20232,220,0.45
"Downers Grove, USA",Summer 2022,1,20222,234,0.43
"Dubai, United Arab Emirates",Summer 2018,1,20182,131,0.76
"Dubai, United Arab Emirates",Summer 2020,2,20202,209,0.96
"Dubai, United Arab Emirates",Winter 2021,1,20210,336,0.3
"Dubai, United Arab Emirates",Summer 2021,3,20212,391,0.77
"Dubai, United Arab Emirates",Winter 2022,5,20220,398,1.26
"Dubai, United Arab Emirates",Winter 2023,2,20230,274,0.73
"Dubai, United Arab Emirates",Summer 2023,1,20232,220,0.45
"Dubai, United Arab Emirates",Winter 2025,1,20250,166,0.6
"Dublin, Ireland",Winter 2010,1,20100,27,3.7
"Dublin, Ireland",Summer 2021,1,20212,391,0.26
"Durango, USA",Winter 2016,1,20160,122,0.82
"Durham, USA",Summer 2018,1,20182,131,0.76
"Durham, USA",Summer 2020,1,20202,209,0.48
"Durham, USA",Winter 2021,1,20210,336,0.3
"Durham, USA",Spring 2026,1,20261,195,0.51
"Durham, USA",Summer 2026,1,20262,235,0.43
"Edmonton, Canada",Summer 2020,1,20202,209,0.48
"Edmonton, Canada",Winter 2022,1,20220,398,0.25
"El Segundo, USA",Fall 2026,1,20263,35,2.86
"Emeryville, USA",Winter 2014,1,20140,74,1.35
"Emeryville, USA",Winter 2015,1,20150,110,0.91
"Emeryville, USA",Summer 2021,1,20212,391,0.26
"Emeryville, USA",Summer 2026,1,20262,235,0.43
"England, United Kingdom",Summer 2007,1,20072,19,5.26
"England, United Kingdom",Winter 2018,1,20180,146,0.68
"Erbil, Iraq",Winter 2019,1,20190,194,0.52
"Exeter, United Kingdom",Summer 2020,1,20202,209,0.48
"FL, USA",Summer 2021,1,20212,391,0.26
"Federal Capital Territory, Nigeria",Winter 2017,1,20170,116,0.86
