tag,rank_earliest_year,rank_latest,rank_change,earliest_year_share_pct,latest_share_pct,pp_change,earliest_year_count,latest_count,latest_full_batch,major_mover
Autonomous Shipping,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Airplanes,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Alternative Battery Tech,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Diversity & Inclusion,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Documents,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Home Automation,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Ghost Kitchens,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
GraphQL,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Grocery,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Fundraising,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Furniture,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Fusion Energy,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Gardening,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Gene Therapy,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Genetic Engineering,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Fitness,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Food,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Food & Beverage,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Food Service Robots & Machines,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Food Tech,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Fraud Detection,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Fraud Prevention,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Lidar,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Live,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Livestock Health,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
IoT Security,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Kids,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Kubernetes,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Lab-on-a-chip,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Latin America,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Lending,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Industrial Workplace Safety,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
International,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Investments,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
IoT,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Human Resources,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Hydrogen Energy,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Crowdsourcing,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Cryptocurrency,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Cryptography,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Cultivated Meat,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Fashion,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
Feedback,6,146,-140,0.0,0.0,0.0,0,0,Summer 2026,True
