subindustry,total_companies,batches_excluded_from_stats,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
B2B -> Finance and Accounting,138,,Winter 2006,Summer 2026,31,Winter 2014,4,5.405,2005,0,0.0,0.0,Summer 2026,6,2.553,6,6.0,2.553,2.031,2.055,True,False,0.0,1.789,1.907,0.71,Low-volume / mixed,10,9,-1
Consumer,172,,Winter 2010,Fall 2026,28,Fall 2024,7,7.447,2005,0,0.0,0.0,Summer 2026,6,2.553,6,6.0,2.553,2.55,2.499,True,True,0.0,3.071,2.341,0.826,Emerging,10,9,-1
Fintech,171,,Summer 2009,Summer 2026,26,Summer 2022,23,9.829,2005,0,0.0,0.0,Summer 2026,6,2.553,6,6.0,2.553,2.704,2.111,True,True,0.0,2.046,1.542,1.139,Emerging,10,9,-1
Fintech -> Insurance,69,,Winter 2016,Fall 2026,24,Summer 2017,4,3.2,2005,0,0.0,0.0,Summer 2026,5,2.128,5,5.0,2.128,1.899,0.984,True,False,0.0,2.346,1.018,0.872,Emerging,14,9,-5
B2B -> Analytics,125,,Summer 2005,Summer 2026,38,Summer 2011,3,5.0,2005,1,11.111,11.111,Summer 2026,5,2.128,4,4.0,-8.983,1.554,1.786,False,False,3.257,1.577,1.511,0.638,Spiky,14,2,-12
B2B -> Productivity,230,,Summer 2005,Fall 2026,45,Winter 2012,6,9.091,2005,1,11.111,11.111,Summer 2026,4,1.702,3,3.0,-9.409,2.94,3.824,False,True,7.879,2.902,3.713,0.462,Declining,16,2,-14
Healthcare -> Drug Discovery and Delivery,59,,Winter 2015,Summer 2026,20,Winter 2020,7,3.07,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,1.267,0.858,True,True,0.0,0.895,0.599,1.06,Spiky,17,9,-8
Fintech -> Asset Management,55,,Winter 2011,Summer 2026,22,Winter 2014,2,2.703,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,1.28,0.836,True,False,0.0,1.921,0.803,1.012,Spiky,17,9,-8
Industrials -> Aviation and Space,65,,Winter 2015,Fall 2026,25,Fall 2024,3,3.191,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,1.438,0.981,True,False,0.0,1.151,0.885,0.873,Spiky,17,9,-8
Real Estate and Construction -> Construction,51,,Winter 2012,Summer 2026,25,Fall 2024,3,3.191,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,0.935,0.857,True,False,0.757,1.151,0.837,0.841,Spiky,17,9,-8
Industrials -> Energy,51,,Summer 2014,Fall 2026,26,Winter 2026,6,3.015,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,1.773,0.824,True,True,0.0,1.151,0.733,0.919,Spiky,17,9,-8
