tag,total_companies,batches_excluded_from_stats,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
Fintech,705,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2007,Fall 2026,40,Winter 2022,92,23.116,2005,0,0.0,0.0,Summer 2026,14,5.957,14,14.0,5.957,4.104,10.576,True,True,6.288,4.348,9.902,0.544,Low-volume / mixed,11,6,-5
Reinforcement Learning,43,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2016,Summer 2026,12,Summer 2026,14,5.957,2005,0,0.0,0.0,Summer 2026,14,5.957,14,14.0,5.957,3.474,0.658,True,False,0.0,4.006,0.0,1.971,Emerging,11,6,-5
Enterprise Software,132,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2010,Summer 2026,29,Summer 2026,14,5.957,2005,0,0.0,0.0,Summer 2026,14,5.957,14,14.0,5.957,4.478,1.926,True,False,0.0,4.006,1.361,0.945,Emerging,11,6,-5
Machine Learning,236,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2009,Summer 2026,31,Fall 2024,6,6.383,2005,0,0.0,0.0,Summer 2026,12,5.106,12,12.0,5.106,3.647,3.886,True,False,2.424,4.265,4.043,0.466,Low-volume / mixed,14,6,-8
Healthcare,211,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2011,Summer 2026,33,Summer 2023,20,9.091,2005,0,0.0,0.0,Summer 2026,11,4.681,11,11.0,4.681,2.903,3.433,True,False,2.349,4.053,3.467,0.614,Low-volume / mixed,15,6,-9
Automation,95,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2012,Fall 2026,27,Summer 2026,11,4.681,2005,0,0.0,0.0,Summer 2026,11,4.681,11,11.0,4.681,3.076,1.59,True,False,1.515,3.711,1.244,0.916,Emerging,15,6,-9
Workflow Automation,79,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2013,Winter 2027,22,Summer 2026,11,4.681,2005,0,0.0,0.0,Summer 2026,11,4.681,11,11.0,4.681,3.249,1.148,True,False,0.0,3.368,0.78,1.13,Emerging,15,6,-9
Finance,99,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2011,Fall 2026,28,Summer 2026,11,4.681,2005,0,0.0,0.0,Summer 2026,11,4.681,11,11.0,4.681,3.104,1.426,True,False,0.0,4.053,1.205,0.943,Emerging,15,6,-9
Generative AI,255,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2014,Summer 2026,25,Winter 2023,49,17.883,2005,0,0.0,0.0,Summer 2026,10,4.255,10,10.0,4.255,4.276,3.615,True,True,0.0,5.21,2.164,1.187,Emerging,19,6,-13
Industrial,34,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2017,Summer 2026,12,Summer 2026,9,3.83,2005,0,0.0,0.0,Summer 2026,9,3.83,9,9.0,3.83,2.564,0.557,True,False,0.0,2.942,0.0,1.734,Emerging,20,6,-14
Biotech,148,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2011,Summer 2026,31,Summer 2018,11,8.397,2005,0,0.0,0.0,Summer 2026,9,3.83,9,9.0,3.83,2.564,2.381,True,True,0.834,2.942,2.077,0.696,Emerging,20,6,-14
Energy,53,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2014,Fall 2026,24,Summer 2026,9,3.83,2005,0,0.0,0.0,Summer 2026,9,3.83,9,9.0,3.83,1.277,0.835,True,False,0.0,1.915,0.633,1.025,Spiky,20,6,-14
Defense,29,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2012,Summer 2026,15,Summer 2026,8,3.404,2005,0,0.0,0.0,Summer 2026,8,3.404,8,8.0,3.404,2.02,0.469,True,False,0.757,2.729,0.0,1.702,Spiky,23,6,-17
Open Source,170,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2009,Summer 2026,31,Winter 2023,21,7.664,2005,0,0.0,0.0,Summer 2026,8,3.404,8,8.0,3.404,3.024,2.509,True,True,1.667,2.729,2.124,0.763,Spiky,23,6,-17
Construction,75,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2009,Summer 2026,27,Summer 2026,8,3.404,2005,0,0.0,0.0,Summer 2026,8,3.404,8,8.0,3.404,2.02,1.105,True,False,0.757,2.729,0.919,0.83,Spiky,23,6,-17
Data Engineering,107,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2008,Summer 2026,27,Summer 2026,8,3.404,2005,0,0.0,0.0,Summer 2026,8,3.404,8,8.0,3.404,1.792,1.367,True,False,0.0,2.387,1.288,0.828,Emerging,23,6,-17
Investing,64,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2007,Summer 2026,30,Summer 2026,8,3.404,2005,0,0.0,0.0,Summer 2026,8,3.404,8,8.0,3.404,1.765,1.041,True,False,0.0,2.045,0.866,0.814,Emerging,23,6,-17
Supply Chain,91,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2012,Summer 2026,28,Summer 2025,7,4.217,2005,0,0.0,0.0,Summer 2026,8,3.404,8,8.0,3.404,2.54,1.466,True,False,0.0,1.702,1.375,0.784,Spiky,23,6,-17
Semiconductors,20,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2020,Fall 2026,10,Summer 2026,7,2.979,2005,0,0.0,0.0,Summer 2026,7,2.979,7,7.0,2.979,0.993,0.24,True,False,0.0,1.49,0.0,2.518,Spiky,29,6,-23
Logistics,133,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2012,Summer 2026,32,Summer 2015,5,4.808,2005,0,0.0,0.0,Summer 2026,7,2.979,7,7.0,2.979,2.253,2.245,True,False,0.0,2.175,2.254,0.52,Emerging,29,6,-23
Cybersecurity,48,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2015,Summer 2026,23,Fall 2025,4,2.74,2005,0,0.0,0.0,Summer 2026,6,2.553,6,6.0,2.553,2.166,0.818,True,False,0.0,2.647,0.786,0.948,Emerging,31,6,-25
AIOps,62,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2014,Fall 2026,21,Summer 2024,10,4.032,2005,0,0.0,0.0,Summer 2026,6,2.553,6,6.0,2.553,1.682,0.855,True,False,0.0,1.619,0.581,1.195,Spiky,31,6,-25
Marketplace,307,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2006,Summer 2026,40,Summer 2013,6,11.538,2005,0,0.0,0.0,Summer 2026,6,2.553,6,6.0,2.553,1.965,5.519,True,True,7.121,2.647,6.175,0.589,Declining,31,6,-25
Enterprise,113,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2010,Summer 2026,32,Winter 2023,15,5.474,2005,0,0.0,0.0,Summer 2026,6,2.553,6,6.0,2.553,1.709,1.764,True,True,3.106,1.962,1.385,0.805,Spiky,31,6,-25
Insurance,84,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2011,Winter 2027,27,Summer 2017,6,4.8,2005,0,0.0,0.0,Summer 2026,6,2.553,6,6.0,2.553,1.253,1.264,True,False,0.834,1.276,1.171,0.875,Spiky,31,6,-25
Security,93,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2010,Summer 2026,31,Winter 2012,3,4.545,2005,0,0.0,0.0,Summer 2026,6,2.553,6,6.0,2.553,1.91,1.572,True,False,2.272,1.962,1.474,0.631,Spiky,31,6,-25
Consumer,249,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2012,Fall 2026,31,Winter 2022,39,9.799,2005,0,0.0,0.0,Summer 2026,6,2.553,6,6.0,2.553,4.083,3.729,True,True,0.757,4.016,3.353,0.705,Emerging,31,6,-25
Drones,34,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2012,Fall 2026,25,Summer 2026,5,2.128,2005,0,0.0,0.0,Summer 2026,5,2.128,5,5.0,2.128,1.138,0.562,True,False,0.0,1.407,0.47,1.021,Spiky,38,6,-32
Aerospace,44,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2016,Fall 2026,20,Fall 2024,3,3.191,2005,0,0.0,0.0,Summer 2026,5,2.128,5,5.0,2.128,1.623,0.671,True,False,0.0,2.434,0.402,1.294,Emerging,38,6,-32
Deep Learning,44,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2014,Fall 2026,22,Winter 2018,5,3.425,2005,0,0.0,0.0,Summer 2026,5,2.128,5,5.0,2.128,0.91,0.702,True,False,0.0,1.064,0.433,1.202,Spiky,38,6,-32
Health Tech,173,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2011,Summer 2026,32,Winter 2017,7,6.034,2005,0,0.0,0.0,Summer 2026,5,2.128,5,5.0,2.128,2.308,3.119,True,True,0.834,3.462,3.054,0.444,Emerging,38,6,-32
AI Assistant,161,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2012,Fall 2026,27,Winter 2024,20,8.065,2005,0,0.0,0.0,Summer 2026,5,2.128,5,5.0,2.128,4.17,2.311,True,True,0.0,4.146,1.507,1.0,Emerging,38,6,-32
Real Estate,84,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2009,Summer 2026,35,Summer 2022,8,3.419,2005,0,0.0,0.0,Summer 2026,4,1.702,4,4.0,1.702,1.197,1.423,True,True,2.424,1.194,1.357,0.64,Low-volume / mixed,43,6,-37
Health & Wellness,49,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2010,Fall 2026,22,Winter 2014,2,2.703,2005,0,0.0,0.0,Summer 2026,4,1.702,4,4.0,1.702,1.252,0.803,True,False,0.0,1.879,0.64,1.079,Spiky,43,6,-37
Data Labeling,19,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2019,Summer 2026,11,Spring 2025,3,2.098,2005,0,0.0,0.0,Summer 2026,4,1.702,4,4.0,1.702,0.996,0.265,True,False,0.0,1.194,0.0,1.888,Spiky,43,6,-37
Trading,18,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2016,Summer 2026,12,Summer 2026,4,1.702,2005,0,0.0,0.0,Summer 2026,4,1.702,4,4.0,1.702,0.567,0.221,True,False,0.0,0.851,0.0,1.784,Low-volume / mixed,43,6,-37
Robotic Process Automation,33,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2017,Summer 2026,19,Summer 2026,4,1.702,2005,0,0.0,0.0,Summer 2026,4,1.702,4,4.0,1.702,0.996,0.45,True,False,0.0,1.194,0.254,1.125,Low-volume / mixed,43,6,-37
Gaming,88,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2006,Summer 2026,31,Winter 2012,3,4.545,2005,0,0.0,0.0,Summer 2026,4,1.702,4,4.0,1.702,1.024,1.504,True,False,3.106,1.536,1.343,0.839,Spiky,43,6,-37
GovTech,53,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2014,Fall 2026,22,Summer 2017,4,3.2,2005,0,0.0,0.0,Summer 2026,4,1.702,4,4.0,1.702,1.225,0.925,True,False,0.0,1.536,0.78,1.02,Spiky,43,6,-37
Computer Vision,78,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2010,Summer 2026,30,Winter 2012,2,3.03,2005,0,0.0,0.0,Summer 2026,4,1.702,4,4.0,1.702,1.654,1.338,True,False,1.515,1.879,1.323,0.638,Low-volume / mixed,43,6,-37
Sales,118,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2009,Summer 2026,24,Summer 2022,13,5.556,2005,0,0.0,0.0,Summer 2026,4,1.702,4,4.0,1.702,1.626,1.825,True,True,2.424,1.536,1.502,0.921,Spiky,43,6,-37
Cloud Computing,52,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2009,Fall 2026,26,Summer 2024,6,2.419,2005,0,0.0,0.0,Summer 2026,4,1.702,4,4.0,1.702,1.17,0.86,True,False,0.757,0.851,0.813,0.904,Low-volume / mixed,43,6,-37
Data Science,32,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2011,Summer 2026,17,Summer 2023,5,2.273,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,0.827,0.501,True,False,0.0,0.638,0.126,1.253,Spiky,53,6,-47
LegalTech,58,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2011,Summer 2026,25,Summer 2015,4,3.846,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,1.54,0.964,True,False,0.834,2.009,0.758,0.939,Spiky,53,6,-47
Productivity,168,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2006,Fall 2026,37,Summer 2022,14,5.983,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,3.146,2.619,True,True,3.939,2.009,2.715,0.625,Low-volume / mixed,53,6,-47
Personalization,13,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2012,Summer 2026,11,Winter 2014,1,1.351,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,0.426,0.295,True,False,0.0,0.638,0.0,1.514,Low-volume / mixed,53,6,-47
Swarm Robotics,4,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2024,Summer 2026,2,Summer 2026,3,1.277,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,0.426,0.052,False,False,0.0,0.638,0.0,4.397,Low-volume / mixed,53,6,-47
Market Research,18,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2006,Summer 2026,14,Summer 2014,1,1.282,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,1.056,0.284,True,False,0.0,0.981,0.0,1.459,Low-volume / mixed,53,6,-47
Big Data,29,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2011,Summer 2026,20,Fall 2024,2,2.128,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,1.284,0.553,True,False,1.591,1.324,0.453,1.081,Spiky,53,6,-47
API,142,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2010,Summer 2026,34,Summer 2022,14,5.983,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,1.284,2.14,True,True,0.757,1.324,1.715,0.657,Spiky,53,6,-47
Analytics,186,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2009,Summer 2026,36,Summer 2014,5,6.41,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,1.969,3.169,True,True,5.53,2.351,3.04,0.513,Declining,53,6,-47
Home Services,17,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2016,Summer 2026,14,Summer 2026,3,1.277,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,0.654,0.266,True,False,0.0,0.981,0.0,1.391,Low-volume / mixed,53,6,-47
Crypto / Web3,93,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2009,Summer 2026,26,Summer 2022,13,5.556,2005,0,0.0,0.0,Summer 2026,3,1.277,3,3.0,1.277,0.855,1.373,True,True,0.0,0.981,0.893,1.092,Spiky,53,6,-47
AI-Enhanced Learning,47,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2006,Fall 2026,23,Winter 2025,4,2.41,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.941,0.668,True,False,0.0,1.111,0.599,0.961,Spiky,64,6,-58
AI-powered Drug Discovery,35,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2010,Summer 2026,19,Winter 2018,3,2.055,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.685,0.489,True,False,0.0,0.425,0.351,1.142,Spiky,64,6,-58
Oncology,22,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2015,Summer 2026,13,Winter 2015,2,1.818,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.284,0.345,True,False,0.0,0.425,0.0,1.558,Low-volume / mixed,64,6,-58
Consumer Health Services,109,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2012,Summer 2026,26,Summer 2021,21,5.371,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.969,1.643,True,True,0.0,1.453,1.361,0.821,Spiky,64,6,-58
Conversational AI,46,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2015,Summer 2026,17,Winter 2025,6,3.614,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,2.0,0.716,True,True,0.0,1.796,0.348,1.347,Spiky,64,6,-58
Stocks,7,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2007,Summer 2026,5,Winter 2015,1,0.909,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.284,0.071,True,False,0.0,0.425,0.0,3.199,Low-volume / mixed,64,6,-58
Agriculture,34,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2012,Summer 2026,23,Summer 2017,4,3.2,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.685,0.698,True,False,0.757,0.425,0.49,1.099,Spiky,64,6,-58
Advanced Materials,8,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2014,Fall 2026,7,Winter 2014,1,1.351,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.484,0.162,True,False,0.0,0.425,0.0,2.272,Low-volume / mixed,64,6,-58
ML,21,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2008,Summer 2026,13,Spring 2025,3,2.098,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.284,0.259,True,False,0.0,0.425,0.0,1.841,Spiky,64,6,-58
Sustainability,16,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2009,Summer 2026,9,Summer 2018,3,2.29,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.284,0.309,True,False,0.0,0.425,0.0,1.972,Spiky,64,6,-58
